nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,    total-energy, internal-energy
       252, 7.506382979E-01, 0.000000000E+00, 2.442607101E+04, 3.927127239E-01, 4.203970710E+02, 0.000000000E+00, 2.086191682E+02, 2.420474138E+05, 1.500789794E+05
       253, 7.536170213E-01, 0.000000000E+00, 4.771016231E+04, 6.151644383E-01, 2.470695601E+02, 0.000000000E+00, 2.654563110E+02, 2.257330750E+05, 1.909671702E+05
       254, 7.565957447E-01, 0.000000000E+00, 6.186128754E+04, 7.520680523E-01, 1.641598911E+02, 0.000000000E+00, 2.865748264E+02, 2.196712948E+05, 2.061596632E+05
       255, 7.595744681E-01, 0.000000000E+00, 6.142282264E+04, 7.519574740E-01, 1.761619997E+02, 0.000000000E+00, 2.845683997E+02, 2.202471978E+05, 2.047162557E+05
       256, 7.625531915E-01, 0.000000000E+00, 6.079850081E+04, 7.462776331E-01, 1.804275508E+02, 0.000000000E+00, 2.838265946E+02, 2.204601285E+05, 2.041826070E+05
       257, 7.655319149E-01, 0.000000000E+00, 6.101199133E+04, 7.483758024E-01, 1.793203064E+02, 0.000000000E+00, 2.840245222E+02, 2.204033234E+05, 2.043249945E+05
       258, 7.685106383E-01, 0.000000000E+00, 6.122020381E+04, 7.503345683E-01, 1.780520717E+02, 0.000000000E+00, 2.842499769E+02, 2.203386142E+05, 2.044871848E+05
       259, 7.714893617E-01, 0.000000000E+00, 6.136622519E+04, 7.516418282E-01, 1.770178542E+02, 0.000000000E+00, 2.844324126E+02, 2.202862515E+05, 2.046184277E+05
       260, 7.744680851E-01, 0.000000000E+00, 6.150945018E+04, 7.529029403E-01, 1.759554007E+02, 0.000000000E+00, 2.846187308E+02, 2.202327742E+05, 2.047524635E+05
       261, 7.774468085E-01, 0.000000000E+00, 6.164845649E+04, 7.541262940E-01, 1.749201925E+02, 0.000000000E+00, 2.847991934E+02, 2.201809774E+05, 2.048822868E+05
       262, 7.804255319E-01, 0.000000000E+00, 6.178350575E+04, 7.553169737E-01, 1.739165066E+02, 0.000000000E+00, 2.849731502E+02, 2.201310478E+05, 2.050074300E+05
       263, 7.834042553E-01, 0.000000000E+00, 6.191328330E+04, 7.564606951E-01, 1.729484579E+02, 0.000000000E+00, 2.851399807E+02, 2.200831637E+05, 2.051274466E+05
       264, 7.863829787E-01, 0.000000000E+00, 6.203830528E+04, 7.575612640E-01, 1.720107758E+02, 0.000000000E+00, 2.853006888E+02, 2.200370368E+05, 2.052430586E+05
       265, 7.893617021E-01, 0.000000000E+00, 6.215908220E+04, 7.586233045E-01, 1.711000879E+02, 0.000000000E+00, 2.854559329E+02, 2.199924781E+05, 2.053547400E+05
       266, 7.923404255E-01, 0.000000000E+00, 6.227610872E+04, 7.596516343E-01, 1.702138501E+02, 0.000000000E+00, 2.856062170E+02, 2.199493430E+05, 2.054628533E+05
       267, 7.953191489E-01, 0.000000000E+00, 6.238986130E+04, 7.606511039E-01, 1.693500686E+02, 0.000000000E+00, 2.857519414E+02, 2.199075166E+05, 2.055676862E+05
       268, 7.982978723E-01, 0.000000000E+00, 6.250073162E+04, 7.616254404E-01, 1.685065368E+02, 0.000000000E+00, 2.858935333E+02, 2.198668763E+05, 2.056695463E+05
       269, 8.012765957E-01, 0.000000000E+00, 6.260887534E+04, 7.625757064E-01, 1.676815057E+02, 0.000000000E+00, 2.860313352E+02, 2.198273237E+05, 2.057686799E+05
       270, 8.042553191E-01, 0.000000000E+00, 6.271434683E+04, 7.635020577E-01, 1.668739420E+02, 0.000000000E+00, 2.861655641E+02, 2.197887966E+05, 2.058652431E+05
       271, 8.072340426E-01, 0.000000000E+00, 6.281726986E+04, 7.644055500E-01, 1.660829237E+02, 0.000000000E+00, 2.862964142E+02, 2.197512393E+05, 2.059593757E+05
       272, 8.102127660E-01, 0.000000000E+00, 6.291777834E+04, 7.652874347E-01, 1.653076837E+02, 0.000000000E+00, 2.864240505E+02, 2.197146043E+05, 2.060511962E+05
       273, 8.131914894E-01, 0.000000000E+00, 6.301597169E+04, 7.661486460E-01, 1.645476833E+02, 0.000000000E+00, 2.865485976E+02, 2.196788560E+05, 2.061407944E+05
       274, 8.161702128E-01, 0.000000000E+00, 6.311193334E+04, 7.669899819E-01, 1.638025136E+02, 0.000000000E+00, 2.866701567E+02, 2.196439652E+05, 2.062282430E+05
