nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,    total-energy, internal-energy
      9388, 2.688219168E-01, 7.984504668E-02, 7.328078966E+04, 9.333940486E-01, 2.301903230E+02,-1.780340374E+01, 2.735177425E+02, 2.234190382E+05, 1.967665003E+05
      9389, 7.088421907E-01, 7.984498340E-02, 6.540431939E+04, 8.094977567E-01, 1.918634464E+02, 1.841765167E+01, 2.814979021E+02, 2.211284897E+05, 2.025073640E+05
      9390, 6.585667265E-01, 7.985343168E-02, 1.998510564E+04, 3.687383368E-01, 4.682444197E+02, 6.735568398E+01, 1.888193633E+02, 2.477306833E+05, 1.358351563E+05
      9391, 1.494779206E-01, 7.986141324E-02, 8.171351570E+04, 1.008968858E+00, 1.891312634E+02,-1.276604975E+01, 2.821478875E+02, 2.209418597E+05, 2.029749583E+05
      9392, 1.822976497E-01, 7.987572301E-02, 7.996476389E+04, 9.934866597E-01, 1.980144202E+02,-1.473361638E+01, 2.804124224E+02, 2.214400039E+05, 2.017264785E+05
      9393, 6.821989875E-01, 7.987894734E-02, 1.852649361E+04, 3.492948609E-01, 4.769033424E+02, 6.692870805E+01, 1.847820221E+02, 2.488895533E+05, 1.329307250E+05
      9394, 5.465470579E-01, 7.989605260E-02, 3.021684178E+04, 4.955107737E-01, 4.166984095E+02, 5.090357978E+01, 2.124474897E+02, 2.409485155E+05, 1.528330436E+05
      9395, 2.121283139E-01, 7.989650839E-02, 7.803454102E+04, 9.762852782E-01, 2.075651695E+02,-1.622269607E+01, 2.784650633E+02, 2.219989697E+05, 2.003255638E+05
      9396, 7.951501003E-01, 7.990103980E-02, 6.705266461E+04, 8.180721717E-01, 1.695520525E+02, 9.244651314E+00, 2.855739917E+02, 2.199588463E+05, 2.054396706E+05
      9397, 1.106719303E-01, 7.990253960E-02, 8.332883553E+04, 1.023185999E+00, 1.807071252E+02,-9.953732373E+00, 2.837274950E+02, 2.204884525E+05, 2.041113155E+05
      9398, 5.288154948E-01, 7.990387988E-02, 3.262310079E+04, 5.234056716E-01, 4.059495772E+02, 4.456353867E+01, 2.171410866E+02, 2.396012753E+05, 1.562095800E+05
      9399, 5.387683484E-02, 7.990521449E-02, 8.478557365E+04, 1.035940093E+00, 1.729154572E+02,-4.962813707E+00, 2.851333707E+02, 2.200849130E+05, 2.051226914E+05
      9400, 3.645242514E-01, 7.990605144E-02, 6.122821874E+04, 8.208863037E-01, 2.839886945E+02,-1.261875157E+01, 2.598531652E+02, 2.273412898E+05, 1.869363115E+05
      9401, 6.379193468E-01, 7.992115701E-02, 2.140032577E+04, 3.872197790E-01, 4.602323460E+02, 6.698291454E+01, 1.925399740E+02, 2.466627270E+05, 1.385117343E+05
      9402, 5.996141408E-01, 7.992184579E-02, 2.449810479E+04, 4.265051105E-01, 4.438944685E+02, 6.343330983E+01, 2.001084061E+02, 2.444903002E+05, 1.439564044E+05
      9403, 5.642510898E-01, 7.993347727E-02, 2.808548123E+04, 4.702690167E-01, 4.265013742E+02, 5.616045546E+01, 2.080614478E+02, 2.422074758E+05, 1.496777597E+05
      9404, 2.957033894E-01, 7.995004181E-02, 7.045612863E+04, 9.075329681E-01, 2.431666911E+02,-1.766903696E+01, 2.704684464E+02, 2.242943018E+05, 1.945728608E+05
      9405, 5.819374626E-01, 7.995631055E-02, 2.618969913E+04, 4.473543212E-01, 4.355253224E+02, 6.033180759E+01, 2.039555233E+02, 2.433860317E+05, 1.467239901E+05
      9406, 3.256020723E-01, 7.998681022E-02, 6.683113627E+04, 8.739064193E-01, 2.594434310E+02,-1.647379617E+01, 2.664243463E+02, 2.254551118E+05, 1.916635672E+05
      9407, 5.088506305E-02, 7.999193504E-02, 8.483367959E+04, 1.036360189E+00, 1.726542947E+02,-4.692551335E+00, 2.851795051E+02, 2.200716707E+05, 2.051558800E+05
      9408, 4.604215408E-01, 8.000399232E-02, 4.380733015E+04, 6.461712016E-01, 3.580315299E+02, 1.606500065E+01, 2.361869454E+02, 2.341343919E+05, 1.699110202E+05
      9409, 7.981373835E-01, 8.001009895E-02, 6.712230988E+04, 8.186396424E-01, 1.690158630E+02, 9.029189777E+00, 2.856713143E+02, 2.199309282E+05, 2.055096837E+05
      9410, 2.389786526E-01, 8.001922275E-02, 7.597455331E+04, 9.577930365E-01, 2.175061680E+02,-1.726171469E+01, 2.763484192E+02, 2.226065268E+05, 1.988028667E+05
      9411, 7.444722181E-01, 8.002712564E-02, 6.541863835E+04, 8.088499584E-01, 1.908139095E+02, 1.512354485E+01, 2.817748093E+02, 2.210490601E+05, 2.027065688E+05
      9412, 5.110466213E-01, 8.003026351E-02, 3.529201144E+04, 5.536680002E-01, 3.942923286E+02, 3.743136084E+01, 2.220661361E+02, 2.381875994E+05, 1.597526217E+05
      9413, 3.615298629E-01, 8.004227636E-02, 6.169579447E+04, 8.253623822E-01, 2.819612000E+02,-1.306059972E+01, 2.604176084E+02, 2.271792732E+05, 1.873423674E+05
      9414, 4.789303307E-02, 8.007333669E-02, 8.487885880E+04, 1.036754670E+00, 1.724088335E+02,-4.421240922E+00, 2.852228140E+02, 2.200592394E+05, 2.051870361E+05
      9415, 1.464951747E-01, 8.007357370E-02, 8.185703020E+04, 1.010235215E+00, 1.883890633E+02,-1.260455439E+01, 2.822891282E+02, 2.209013182E+05, 2.030765658E+05
      9416, 1.076863702E-01, 8.008078383E-02, 8.343516999E+04, 1.024119122E+00, 1.801433141E+02,-9.735436815E+00, 2.838307083E+02, 2.204588264E+05, 2.041855663E+05
      9417, 4.902521922E-01, 8.008394799E-02, 3.864251228E+04, 5.907510153E-01, 3.799091359E+02, 2.868944298E+01, 2.278855500E+02, 2.365172071E+05, 1.639390620E+05
      9418, 2.658387334E-01, 8.008429208E-02, 7.356987705E+04, 9.360245860E-01, 2.288404589E+02,-1.783346723E+01, 2.738250511E+02, 2.233308290E+05, 1.969875757E+05
      9419, 1.793161247E-01, 8.010587519E-02, 8.014086159E+04, 9.950500417E-01, 1.971269900E+02,-1.461231772E+01, 2.805884041E+02, 2.213894905E+05, 2.018530783E+05
      9420, 8.011253088E-01, 8.011031390E-02, 6.719135846E+04, 8.192198083E-01, 1.685239328E+02, 8.828125091E+00, 2.857613741E+02, 2.199050941E+05, 2.055744720E+05
      9421, 2.091472257E-01, 8.013788875E-02, 7.824504398E+04, 9.781670429E-01, 2.065313202E+02,-1.613930505E+01, 2.786790972E+02, 2.219375339E+05, 2.004795380E+05
      9422, 7.118062781E-01, 8.014098442E-02, 6.408527390E+04, 7.953143580E-01, 1.959793173E+02, 1.932865173E+01, 2.807259245E+02, 2.213500719E+05, 2.019520094E+05
      9423, 4.490076095E-02, 8.014941167E-02, 8.492114743E+04, 1.037123866E+00, 1.721789151E+02,-4.149025661E+00, 2.852633346E+02, 2.200476084E+05, 2.052161863E+05
      9424, 4.634136363E-01, 8.017389647E-02, 4.325595728E+04, 6.403473293E-01, 3.603573904E+02, 1.736604094E+01, 2.353352290E+02, 2.343788668E+05, 1.692983021E+05
      9425, 2.927177236E-01, 8.017462766E-02, 7.078774708E+04, 9.105842046E-01, 2.416538503E+02,-1.777822310E+01, 2.708309154E+02, 2.241902594E+05, 1.948336182E+05
      9426, 3.226128190E-01, 8.018261076E-02, 6.721466550E+04, 8.774883321E-01, 2.577355309E+02,-1.669530469E+01, 2.668595283E+02, 2.253301981E+05, 1.919766337E+05
      9427, 3.585358469E-01, 8.018452470E-02, 6.215657876E+04, 8.297639890E-01, 2.799595752E+02,-1.348060677E+01, 2.609708697E+02, 2.270204663E+05, 1.877403793E+05
      9428, 6.202385402E-01, 8.019052665E-02, 2.273204164E+04, 4.042945713E-01, 4.529944956E+02, 6.607620900E+01, 1.958836529E+02, 2.457029645E+05, 1.409171504E+05
      9429, 8.041138396E-01, 8.020140213E-02, 6.725673182E+04, 8.197754724E-01, 1.680760602E+02, 8.642189395E+00, 2.858441146E+02, 2.198813614E+05, 2.056339949E+05
      9430, 6.851563744E-01, 8.021622141E-02, 1.835181552E+04, 3.469376267E-01, 4.779360125E+02, 6.705948788E+01, 1.842834525E+02, 2.490326616E+05, 1.325720580E+05
      9431, 6.615196061E-01, 8.021988656E-02, 1.978714634E+04, 3.661238743E-01, 4.693541533E+02, 6.763000340E+01, 1.882840516E+02, 2.478843381E+05, 1.354500573E+05
      9432, 4.190826278E-02, 8.022015213E-02, 8.496057744E+04, 1.037468054E+00, 1.719643761E+02,-3.876041187E+00, 2.853011042E+02, 2.200367671E+05, 2.052433575E+05
      9433, 1.047004870E-01, 8.025576597E-02, 8.353856792E+04, 1.025026152E+00, 1.795942010E+02,-9.512326831E+00, 2.839309812E+02, 2.204300442E+05, 2.042577019E+05
      9434, 7.474463590E-01, 8.025753803E-02, 6.554825894E+04, 8.099922958E-01, 1.899929428E+02, 1.480284449E+01, 2.819348971E+02, 2.210031161E+05, 2.028217348E+05
      9435, 2.359971227E-01, 8.026467715E-02, 7.622044102E+04, 9.600077854E-01, 2.163270476E+02,-1.722381740E+01, 2.766032099E+02, 2.225333922E+05, 1.989861612E+05
      9436, 5.317803654E-01, 8.026802211E-02, 3.216415847E+04, 5.181318611E-01, 4.079581738E+02, 4.597464312E+01, 2.162654438E+02, 2.398526180E+05, 1.555796495E+05
      9437, 8.071029307E-01, 8.028313184E-02, 6.731861764E+04, 8.203056394E-01, 1.676654706E+02, 8.469108049E+00, 2.859207492E+02, 2.198593845E+05, 2.056891252E+05
      9438, 5.495061182E-01, 8.028332125E-02, 2.981030871E+04, 4.907364335E-01, 4.185175686E+02, 5.215930729E+01, 2.116283682E+02, 2.411836344E+05, 1.522437740E+05
      9439, 1.435122740E-01, 8.028438907E-02, 8.199779360E+04, 1.011476681E+00, 1.876595272E+02,-1.243860106E+01, 2.824274896E+02, 2.208616033E+05, 2.031761019E+05
      9440, 3.891555471E-02, 8.028555015E-02, 8.499718300E+04, 1.037787549E+00, 1.717650707E+02,-3.602397059E+00, 2.853361566E+02, 2.200267058E+05, 2.052685739E+05
      9441, 6.408697731E-01, 8.030715398E-02, 2.117882010E+04, 3.843506924E-01, 4.614185163E+02, 6.739282708E+01, 1.919694899E+02, 2.468264776E+05, 1.381013325E+05
      9442, 2.628557573E-01, 8.032532274E-02, 7.385458848E+04, 9.386124248E-01, 2.275074866E+02,-1.785590017E+01, 2.741268653E+02, 2.232441969E+05, 1.972046985E+05
      9443, 6.025643474E-01, 8.032620625E-02, 2.421350331E+04, 4.229575641E-01, 4.452934650E+02, 6.418676625E+01, 1.994426366E+02, 2.446814013E+05, 1.434774551E+05
      9444, 3.555422048E-01, 8.033256976E-02, 6.261051673E+04, 8.340911046E-01, 2.779840596E+02,-1.387974636E+01, 2.615130512E+02, 2.268648396E+05, 1.881304204E+05
      9445, 5.672059414E-01, 8.033334409E-02, 2.772491357E+04, 4.659456060E-01, 4.281591748E+02, 5.725090021E+01, 2.072961202E+02, 2.424271538E+05, 1.491271891E+05
      9446, 1.763345103E-01, 8.033528964E-02, 8.031386890E+04, 9.965850339E-01, 1.962529729E+02,-1.448718100E+01, 2.807610283E+02, 2.213399408E+05, 2.019772628E+05
      9447, 3.592265297E-02, 8.034559771E-02, 8.503099697E+04, 1.038082645E+00, 1.715808463E+02,-3.328166744E+00, 2.853685260E+02, 2.200174145E+05, 2.052918602E+05
      9448, 4.664048904E-01, 8.035458449E-02, 4.270713901E+04, 6.345293753E-01, 3.626733395E+02, 1.868378868E+01, 2.344797166E+02, 2.346244313E+05, 1.686828533E+05
      9449, 4.932333213E-01, 8.035560042E-02, 3.812035402E+04, 5.850340553E-01, 3.821313276E+02, 3.010169416E+01, 2.270029958E+02, 2.367705336E+05, 1.633041595E+05
      9450, 8.100925018E-01, 8.035589262E-02, 6.737763442E+04, 8.208192942E-01, 1.672946625E+02, 8.310669435E+00, 2.859908588E+02, 2.198392835E+05, 2.057395615E+05
      9451, 5.140185949E-01, 8.035962119E-02, 3.479495915E+04, 5.480828529E-01, 3.964337699E+02, 3.889024108E+01, 2.211695640E+02, 2.384449496E+05, 1.591076348E+05
      9452, 5.848893901E-01, 8.036147252E-02, 2.586949275E+04, 4.434379112E-01, 4.370446969E+02, 6.125357209E+01, 2.032412129E+02, 2.435910659E+05, 1.462101208E+05
      9453, 2.061661193E-01, 8.037912028E-02, 7.845193848E+04, 9.800151438E-01, 2.055125229E+02,-1.605135111E+01, 2.788890613E+02, 2.218772662E+05, 2.006305846E+05
      9454, 3.196239263E-01, 8.038239829E-02, 6.759287952E+04, 8.810148996E-01, 2.560473665E+02,-1.690478946E+01, 2.672869441E+02, 2.252075135E+05, 1.922841132E+05
      9455, 3.292957467E-02, 8.040030809E-02, 8.506205004E+04, 1.038353617E+00, 1.714115617E+02,-3.053403455E+00, 2.853982441E+02, 2.200088843E+05, 2.053132392E+05
      9456, 2.897323552E-01, 8.040201121E-02, 7.111463743E+04, 9.135879502E-01, 2.401587614E+02,-1.787796570E+01, 2.711870303E+02, 2.240880410E+05, 1.950898044E+05
      9457, 8.130824618E-01, 8.042049067E-02, 6.743319311E+04, 8.213117716E-01, 1.669673802E+02, 8.170564910E+00, 2.860536151E+02, 2.198212940E+05, 2.057847079E+05
      9458, 1.017142702E-01, 8.042731430E-02, 8.363900376E+04, 1.025906891E+00, 1.790599946E+02,-9.284484423E+00, 2.840282967E+02, 2.204021110E+05, 2.043277098E+05
      9459, 7.147711247E-01, 8.043302843E-02, 6.382130467E+04, 7.923118111E-01, 1.965455910E+02, 1.886622716E+01, 2.806285547E+02, 2.213780201E+05, 2.018819623E+05
      9460, 2.993634423E-02, 8.044995886E-02, 8.509037328E+04, 1.038600745E+00, 1.712570709E+02,-2.778146013E+00, 2.854253428E+02, 2.200011060E+05, 2.053327338E+05
      9461, 8.160727322E-01, 8.047774132E-02, 6.748559451E+04, 8.217855762E-01, 1.666798846E+02, 8.046306569E+00, 2.861094470E+02, 2.198052901E+05, 2.058248729E+05
      9462, 7.504213330E-01, 8.048251506E-02, 6.567339631E+04, 8.110930675E-01, 1.891963888E+02, 1.448260175E+01, 2.820897194E+02, 2.209586841E+05, 2.029331127E+05
      9463, 3.525489362E-01, 8.048618507E-02, 6.305759209E+04, 8.383440629E-01, 2.760347265E+02,-1.425904464E+01, 2.620442969E+02, 2.267123520E+05, 1.885125943E+05
